race_id	着順	枠	馬番	馬名	性齢	斤量	騎手	タイム	着差	人気	単勝オッズ	後3F	コーナー通過順	厩舎	馬体重(増減)	horse_id	jockey_id	trainer_id
202205050606	1	3	5	チェルヴィニア	牝3	55.0	ルメー	1:57.1		1	2.3	34.2	8-8-8-7	美浦木村	490(+8)	2021105643	05339	01126
202205050606	2	6	10	ボンドガール	牝3	55.0	武豊	1:57.4	1.3/4	5	14.6	34.1	12-12-13-13	美浦手塚	448(0)	2021107179	00666	01038
202205050606	3	8	14	ステレンボッシュ	牝3	55.0	戸崎圭	1:57.5	1/2	2	3.9	34.3	10-10-11-10	美浦国枝	468(+10)	2021105743	05386	00399
202205050606	4	7	12	ラヴァンダ	牝3	55.0	岩田望	1:57.6	3/4	13	123.2	34.9	3-4-4-4	栗東中村	478(+2)	2021107098	01174	01186
202205050606	5	7	13	クリスマスパレード	牝3	55.0	石川	1:57.6	ハナ	8	19.7	35.8	2-2-2-2	美浦加藤士	464(+4)	2021105799	01150	01169
202205050606	6	2	2	ミアネーロ	牝3	55.0	津村	1:57.7	クビ	4	13.5	34.5	10-10-11-10	美浦林	478(-2)	2021105801	01092	01163
202205050606	7	3	4	タガノエルピーダ	牝3	55.0	団野	1:57.7	クビ	7	18.1	35.2	3-3-3-3	栗東斉藤崇	458(+6)	2021106550	01180	01151
202205050606	8	4	7	チルカーノ	牝3	55.0	鮫島駿	1:57.9	1.1/2	12	55.5	34.5	13-12-13-14	栗東高野	460(+4)	2021105384	01157	01117
202205050606	9	5	8	コガネノソラ	牝3	55.0	坂井瑠	1:58.0	クビ	9	27.4	35.2	5-5-4-4	美浦菊沢	444(-10)	2021106823	01163	01115
202205050606	10	1	1	ホーエリート	牝3	55.0	北村友	1:58.0	ハナ	14	125.7	34.9	8-9-9-10	美浦田島	468(+2)	2021104855	01102	01112
202205050606	11	4	6	ラビットアイ	牝3	55.0	横山典	1:58.3	2	15	145.2	34.4	15-15-15-15	栗東鈴木孝	486(-2)	2021102597	00660	01111
202205050606	12	5	9	アドマイヤベル	牝3	55.0	横山武	1:58.5	1.1/4	11	51.5	35.7	6-6-4-6	美浦加藤征	496(+12)	2021105764	01170	01059
202205050606	13	8	15	セキトバイースト	牝3	55.0	藤岡佑	1:58.5	ハナ	10	33.0	38.1	1-1-1-1	栗東四位	458(+6)	2021103975	01093	01184
202205050606	14	6	11	ランスオブクイーン	牝3	55.0	松山	1:58.6	1/2	6	16.7	35.7	6-6-7-7	栗東奥村豊	446(+8)	2021104427	01126	01146
202205050606	15	2	3	クイーンズウォーク	牝3	55.0	川田	1:59.6	6	3	6.8	36.5	14-14-9-7	栗東中内田	524(+2)	2021105414	01088	01137
