	horse_id	date	rank	prize	rank_diff	weather	race_type	course_len	ground_state	race_class	n_horses
0	2020103575	2024-07-27	8.0	0.0	0.9	1	0	1200	0	5.0	15
1	2020103575	2024-05-19	4.0	230.0	0.6	0	0	1200	0	5.0	15
2	2020103575	2024-05-05	1.0	800.0	0.0	0	0	1200	0	2.0	13
3	2020103575	2024-02-25	7.0	0.0	0.9	2	0	1200	3	2.0	15
4	2020103575	2023-12-16	9.0	0.0	1.4	0	0	1200	1	2.0	16
5	2020103575	2023-09-24	5.0	80.0	1.2	0	0	1200	1	2.0	16
6	2020103575	2023-08-12	2.0	320.0	0.6	0	0	1200	0	2.0	15
7	2020103575	2023-07-22	4.0	120.0	0.9	0	0	1150	0	2.0	16
8	2020103575	2023-05-06	15.0	0.0	2.1	0	1	1400	0	2.0	16
9	2020103575	2023-04-23	7.0	0.0	0.6	0	0	1400	0	2.0	16
10	2020103575	2023-01-05	1.0	550.0	0.0	0	0	1200	0	1.0	16
11	2020103575	2022-12-17	2.0	210.0	0.0	1	0	1200	0	1.0	16
12	2020103575	2022-11-27	3.0	130.0	0.4	0	0	1400	1	1.0	16
13	2020103575	2022-09-04	12.0	0.0	2.2	0	1	1500	0	1.0	14
14	2020103575	2022-07-24	7.0	0.0	1.3	1	1	1800	0	0.0	9
15	2020102562	2024-08-18	15.0	0.0	4.2	0	0	1800	0	5.0	16
16	2020102562	2024-05-19	13.0	0.0	1.8	1	0	1600	0	5.0	15
17	2020102562	2024-05-04	12.0	0.0	1.6	0	0	1600	1	3.0	13
18	2020102562	2024-01-28	1.0	800.0	0.0	1	0	1600	0	2.0	14
19	2020102562	2023-12-23	9.0	0.0	0.9	0	0	1200	0	2.0	16
20	2020102562	2023-10-08	6.0	0.0	0.5	1	0	1400	0	2.0	15
21	2020102562	2023-09-18	3.0	200.0	0.4	0	0	1200	0	2.0	16
22	2020102562	2023-08-27	4.0	120.0	0.3	0	0	1200	0	2.0	15
23	2020102562	2023-05-06	1.0	550.0	0.0	0	0	1400	0	1.0	16
24	2020102562	2023-04-15	2.0	220.0	0.2	3	0	1200	1	1.0	15
25	2020102562	2023-02-26	3.0	140.0	0.3	0	0	1200	0	1.0	16
26	2020102562	2023-01-28	2.0	220.0	0.7	0	0	1400	0	1.0	16
27	2020102562	2023-01-05	3.0	140.0	0.3	0	0	1200	0	1.0	16
28	2020102562	2022-10-16	9.0	0.0	1.0	1	1	1400	0	0.0	18
29	2020100039	2024-02-25	12.0	0.0	1.5	0	0	1000	2	2.0	14
30	2020100039	2024-01-28	8.0	0.0	2.2	1	0	1000	0	2.0	14
31	2020100039	2023-12-02	16.0	0.0	3.4	0	0	1200	0	2.0	16
32	2020100039	2023-11-12	14.0	0.0	1.7	1	0	1150	0	2.0	16
33	2020100039	2023-10-21	14.0	0.0	1.2	2	0	1200	2	2.0	15
34	2020100039	2023-07-08	11.0	0.0	0.8	1	0	1150	0	2.0	13
35	2020100039	2023-04-23	8.0	0.0	1.3	0	0	1400	0	2.0	16
36	2020100039	2023-03-04	8.0	0.0	0.8	0	0	1200	0	2.0	16
37	2020100039	2023-02-19	12.0	0.0	2.6	1	0	1400	1	2.0	16
38	2020100039	2023-01-21	1.0	550.0	0.0	0	0	1200	1	1.0	16
39	2020100039	2023-01-05	5.0	55.0	1.3	0	0	1200	0	1.0	16
40	2020100039	2022-12-10	3.0	130.0	0.4	0	0	1200	1	1.0	16
41	2020100039	2022-11-12	2.0	210.0	0.2	0	0	1150	0	1.0	16
42	2020100039	2022-10-22	2.0	210.0	0.7	0	0	1200	0	1.0	13
43	2020100039	2022-09-10	9.0	0.0	3.6	0	0	1800	1	1.0	12
44	2020100039	2022-08-13	11.0	0.0	1.6	0	0	1200	0	1.0	15
45	2020100039	2022-07-10	4.0	78.0	1.4	0	0	1000	0	1.0	11
46	2020100039	2022-06-18	6.0	0.0	2.2	0	0	1000	0	0.0	8
47	2020104295	2024-08-20	10.0	0.0	3.5	0	0	1500	2		12
48	2020104295	2024-08-07	11.0	0.0	1.9	1	0	900	0		12
49	2020104295	2024-07-25	10.0	0.0	1.9	3	0	900	0		11
50	2020104295	2024-07-01	7.0	0.0	1.8	3	0	900	2		9
51	2020104295	2024-06-11	12.0	0.0	3.0	0	0	900	1		12
52	2020104295	2024-05-10	6.0	0.0	4.6	0	0	1230	0		7
53	2020104295	2024-04-24	9.0	0.0	4.4	1	0	1230	2	5.0	9
54	2020104295	2024-04-02	6.0	0.0	1.0	0	0	1400	0		6
55	2020104295	2024-02-18	14.0	0.0	2.9	0	0	1000	0	2.0	14
56	2020104295	2024-01-28	13.0	0.0	3.1	1	0	1000	0	2.0	14
57	2020104295	2023-09-24	16.0	0.0	4.1	0	0	1200	1	2.0	16
59	2020104295	2023-04-15	1.0	550.0	0.0	3	0	1200	1	1.0	15
60	2020104295	2023-03-26	2.0	220.0	0.3	2	0	1200	3	1.0	16
61	2020104295	2023-01-05	7.0	0.0	1.4	0	0	1200	0	1.0	16
62	2020104295	2022-08-13	13.0	0.0	2.1	0	0	1200	0	1.0	15
63	2020104295	2022-07-24	5.0	70.0	1.4	0	1	1200	0	0.0	14
